Category,Date,Review Text,Score,Year,New Score
France,2019-09-01,Worst city transport,1.0,2019,0
France,2019-09-01,efficient and clean,5.0,2019,2
France,2019-08-01,Avoid and use your common sense,1.0,2019,0
France,2019-09-01,TOURISTS BEWARE,1.0,2019,0
France,2019-05-01,Buy Booklets of 10 to save money,5.0,2019,2
France,2019-09-01,Pickpockets on the metro,1.0,2019,2
France,2019-09-01,Fraud,1.0,2019,0
France,2019-09-01,WARNING about Paris Metro,1.0,2019,2
France,2018-10-01,Paris Navigo Decouverte Pass,5.0,2018,2
France,2019-07-01,Great Subway System,5.0,2019,2
France,2019-09-01,Métro update,5.0,2019,2
France,2019-09-01,Easy and convenient,5.0,2019,2
France,2019-09-01,"Not disabled friendly, and the 'inspectors' are vile",1.0,2019,0
France,2019-08-01,Best way to get around in Paris,5.0,2019,2
France,2019-08-01,Be aware of the Paris RATP Metro inspectors exploit their legal power to make fine money inappropriately on tourists,1.0,2019,0
France,2019-09-01,Navigo Easy Smartcard,5.0,2019,2
France,2019-08-01,The easiest with practice.,5.0,2019,2
France,2019-08-01,The Metro,5.0,2019,2
France,2019-09-01,This is the most efficient mode of transportation...,5.0,2019,2
France,2019-09-01,Best way from A to B,5.0,2019,2
France,2019-08-01,Easy to navigate,5.0,2019,2
France,2019-03-01,Paris metro,5.0,2019,2
France,2019-08-01,Metro “police”,1.0,2019,0
France,2019-08-01,This is the way to go in Paris!,5.0,2019,2
France,2019-08-01,Good transportation but...,1.0,2019,2
France,2018-09-01,"Comfortable, Quick, Safe and Cheap way to discover Paris",5.0,2018,2
France,2019-08-01,Metro turnstile pickpocket scam,1.0,2019,0
France,2019-08-01,Needs TLC,1.0,2019,1
France,2019-08-01,Like everything when traveling- do your research,5.0,2019,2
France,2019-08-01,Paris metro scam,1.0,2019,0
France,2019-08-01,Beware of thieves,1.0,2019,0
France,2019-06-01,Remarkable system. Study the maps.,5.0,2019,2
France,2019-07-01,The best way to get around Paris,5.0,2019,2
France,2019-08-01,Third world state.,1.0,2019,0
France,2019-06-01,Great Metro System - use it,5.0,2019,2
France,2019-08-01,Horrendous ticketing system (easily lost!),5.0,2019,2
France,2019-08-01,"Excellent system, easy and cheap!",5.0,2019,2
France,2019-07-01,"Easy, fast, cheap",5.0,2019,2
France,2019-08-01,Paris? Paris Metro? Word to the Wise!,1.0,2019,2
France,2019-07-01,Great way to get around Paris!,5.0,2019,2
France,2019-07-01,Beware of scammers,1.0,2019,0
France,2019-07-01,Awesome Metro!,5.0,2019,2
France,2019-08-01,The only way to get around the city,5.0,2019,2
France,2019-08-01,Excellent service but keep possessions tight,5.0,2019,2
France,2019-07-01,Best way to get around,5.0,2019,2
France,2019-06-01,Pickpockets: warnings v. reality,5.0,2019,0
France,2019-07-01,Paris Metro experience,5.0,2019,2
France,2019-07-01,Felt like the same as London underground,5.0,2019,2
France,2019-07-01,Closures and Changes,1.0,2019,0
France,2019-07-01,Metro Bus 351 to CDG airport,5.0,2019,2
France,2019-07-01,Bad,1.0,2019,0
France,2019-07-01,Worst day in My life,1.0,2019,0
France,2019-07-01,Gettin' Around!,5.0,2019,2
France,2019-07-01,"On-time and fast trains, but beware of pick-pocketers",1.0,2019,0
France,2019-06-01,Excellent!,5.0,2019,2
France,2019-07-01,Watch out for closed stations,5.0,2019,0
France,2019-06-01,Pickpockets roam the stations - buskers too,3.0,2019,0
France,2019-07-01,Mixed emotions - quick/cheap vs thieves/heat,3.0,2019,1
France,2019-07-01,Beware metro police and unannounced station closures,1.0,2019,0
France,2019-07-01,Useful if you want to save time and money,3.0,2019,2
France,2019-06-01,GREAT SYSTEM - Watch for pickpockets,5.0,2019,2
France,2019-07-01,Revenue Inspectors,3.0,2019,0
France,2019-07-01,I’m a fan,5.0,2019,2
France,2019-07-01,Great way yo see the city on a budget!,5.0,2019,2
France,2019-06-01,"Confusing, but best way to get around",3.0,2019,2
France,2019-07-01,"Awlful , dirty , nightmare to find street exit",1.0,2019,0
France,2019-06-01,Family Trip,5.0,2019,2
France,2019-07-01,First time in Paris,1.0,2019,2
France,2019-06-01,But Not For Wheelchair Users,5.0,2019,2
France,2019-06-01,Easy way to travel,5.0,2019,2
France,2019-06-01,Great way to get around cheaply!,5.0,2019,2
France,2019-07-01,Pleasantly surprised,5.0,2019,2
France,2019-06-01,"Easy, Economical, Clean(-ish)",5.0,2019,2
France,2019-04-01,Handy Travel but Be Aware,5.0,2019,2
France,2019-06-01,Getting around in Paris,5.0,2019,2
France,2019-06-01,Know the rules,1.0,2019,2
France,2019-07-01,bleah,1.0,2019,2
France,2019-06-01,"Clean, fast service BUT keep your ticket through your journer",1.0,2019,2
France,2019-04-01,get the 3/4/5 day all city pass,5.0,2019,2
France,2019-06-01,Gets you around,5.0,2019,2
France,2019-05-01,Decent way to travel Paris,3.0,2019,2
France,2019-06-01,Sometimes it is the only way to get around easily!,3.0,2019,2
France,2019-06-01,Ruined day,1.0,2019,0
France,2019-06-01,Outdated Joke of a System,1.0,2019,0
France,2019-06-01,The Meto in Paris works flawless,5.0,2019,2
France,2019-06-01,Paris Metro/Buses Work!,5.0,2019,2
France,2019-06-01,Inexpensive way to travel around Paris,5.0,2019,2
France,2019-06-01,Best way to travel in Paris............,5.0,2019,2
France,2019-06-01,Easy to use.,5.0,2019,2
France,2019-06-01,Wonderful Way to Travel,5.0,2019,2
France,2019-06-01,Metro and Train just be aware and you will be fine.,5.0,2019,0
France,2019-06-01,Beware Paris metro policies!,1.0,2019,0
France,2019-06-01,Beware Paris Metro,1.0,2019,2
France,2019-06-01,Terrible treatment,1.0,2019,0
France,2019-05-01,Good way to get around without a vehicle.,5.0,2019,2
France,2019-05-01,Accessibilty Plus,5.0,2019,2
France,2019-06-01,So easy to get around,5.0,2019,2
France,2019-06-01,Let the explore begin ;-),5.0,2019,2
France,2019-06-01,Great accessibility to all city areas is the one positive,3.0,2019,1
France,2019-06-01,Safe and Efficient Transportation in Paris!,5.0,2019,2
France,2019-05-01,Nothing to fear if you know your destination,5.0,2019,2
France,2019-06-01,Metro ride and walking in the roads in Paris.,3.0,2019,2
France,2019-05-01,best way to explore the city,5.0,2019,2
France,2019-05-01,"Still OK, but... .",3.0,2019,1
France,2019-05-01,Much Better than expected.............,5.0,2019,1
France,2019-05-01,Worst tourist trap in Paris,1.0,2019,0
France,2019-05-01,Invaluable,5.0,2019,2
France,2019-05-01,Please take care.,3.0,2019,0
France,2019-05-01,PICK POCKETS,1.0,2019,0
France,2019-05-01,Tough time taking the train from CDG to Paris,5.0,2019,2
France,2019-05-01,Paris Metro saved the day,5.0,2019,2
France,2019-04-01,Think your trip through first,5.0,2019,2
France,2018-06-01,"Metro in Paris, Easy and helps you see all of the city",5.0,2018,2
France,2019-05-01,Paris unsigned,5.0,2019,2
France,2019-05-01,DON'T BE TRICKED WITH METRO TICKETS,1.0,2019,0
France,2019-05-01,Poor communication for English travelers,1.0,2019,0
France,2019-04-01,A good way to explore the city,5.0,2019,2
France,2019-04-01,Paris Metro to Charles de Gaulle,1.0,2019,0
France,2019-02-01,"Avoid in the mornings if you value your life, ok in the afternoon",1.0,2019,0
France,2019-04-01,Easy to Use,5.0,2019,2
France,2019-03-01,Color coded routes makes it easy to commute,5.0,2019,2
France,2018-08-01,Quick and easy,5.0,2018,2
France,2019-04-01,"HGow to get around Paris, easily and cheaply",5.0,2019,2
France,2019-03-01,Not the slickest metro in the world but the best way to get around Paris,5.0,2019,2
France,2019-04-01,Efficient and typical of an underground,5.0,2019,2
France,2019-04-01,Worst Metro Service I have encounter,1.0,2019,0
France,2019-04-01,Avoid the subway with kids!!,1.0,2019,0
France,2019-04-01,Gold medal for unprofessional conduct,1.0,2019,0
France,2019-04-01,Not handy and not safe,1.0,2019,2
France,2019-04-01,"So easy to get round, but SCAM BEWARE.",5.0,2019,2
France,2019-04-01,So easy to get around Paris,5.0,2019,2
France,2019-04-01,AWFUL. SCAM. AVOID OR USE WITH CAUTION,1.0,2019,0
France,2019-04-01,Best Subway on the planet but Know the drill before you go,5.0,2019,2
France,2019-03-01,great and easy transportation,5.0,2019,2
France,2019-04-01,Scandalous,1.0,2019,0
France,2019-04-01,Best underground on the planet,5.0,2019,2
France,2019-03-01,A Great Way to Get Around Paris but....,3.0,2019,2
France,2019-03-01,March 2019 visit,3.0,2019,2
France,2019-03-01,"Metro is easy to use, clean, fast, and on-time -- get a Navigo Decouverte",5.0,2019,2
France,2019-03-01,Metro ticketing failures,1.0,2019,0
France,2018-06-01,Comprehensive and Easy to Navigate!,5.0,2018,2
France,2019-03-01,Brilliant and most economical way to get round Paris,5.0,2019,2
France,2019-03-01,Great way to get around Paris - And so cheap!,5.0,2019,2
France,2019-03-01,Aggressive behavior by the employees,1.0,2019,0
France,2018-04-01,Paris Metro,5.0,2018,2
France,2019-03-01,Not the best,3.0,2019,2
France,2018-06-01,nonstop soliciting from aggressive beggars,1.0,2018,0
France,2019-03-01,Worth using!,5.0,2019,2
France,2019-01-01,"AWFUL, NO CARE FOR THE CUSTOMER",1.0,2019,0
France,2019-03-01,Listen carefully to my honest opinion after so many travels!,3.0,2019,1
France,2018-12-01,Very Easy to Use,5.0,2018,2
France,2019-03-01,Take care to get the correct ticket or you face a fine!,1.0,2019,0
France,2019-03-01,Short visit to Paris,5.0,2019,2
France,2019-03-01,Metro Pass,5.0,2019,2
France,2018-12-01,Carnet tickets (10 for €14.90 - €1.49 per ticket),5.0,2018,2
France,2018-12-01,Fast Way to get around Paris,5.0,2018,2
France,2019-02-01,Fantastic way to get around quickly,5.0,2019,2
France,2019-02-01,Thieves!!!!,1.0,2019,0
France,2019-02-01,Great way to get around cheaply,5.0,2019,2
France,2019-02-01,The best!,5.0,2019,2
France,2019-02-01,Refugees........in your face,3.0,2019,0
France,2019-02-01,No elevator!,1.0,2019,2
France,2019-02-01,Straight forward once you have a ticket,3.0,2019,0
France,2019-02-01,Dreadful,1.0,2019,0
France,2018-11-01,"Beware, some tips I should off known before!",3.0,2018,2
France,2019-02-01,Almost Great One Big Issue,5.0,2019,2
France,2018-12-01,Worst picture of town,1.0,2018,0
France,2019-01-01,Robbed by Two Men at Turnstile,1.0,2019,0
France,2019-01-01,Metro fine,1.0,2019,0
France,2018-12-01,Hopping on and off is awesome,5.0,2018,2
France,2019-01-01,Best way to get around the city,5.0,2019,2
France,2019-01-01,"Metro, Tram and Bus tickets interchangeable",5.0,2019,2
France,2019-01-01,Convenient but a bit old,5.0,2019,2
France,2019-01-01,Louvre Rivoli station,5.0,2019,2
France,2019-01-01,Excellent service but be aware of prices,5.0,2019,2
France,2019-01-01,Metro fee,3.0,2019,2
France,2019-01-01,Superb service,5.0,2019,2
France,2018-12-01,Excellent connectivity !,5.0,2018,2
France,2019-01-01,Traveler Beware,1.0,2019,2
France,2019-01-01,Rude staff and horrible experience,1.0,2019,0
France,2018-12-01,The easiest way to navigate around Paris.,5.0,2018,2
France,2018-12-01,Cheap and easy way to get around,5.0,2018,2
France,2018-12-01,Great way to move around Paris,5.0,2018,2
France,2018-12-01,Rush hour is more fun than you want to experience,5.0,2018,2
France,2018-12-01,So far so good on ND and T+ tickets,5.0,2018,2
France,2018-12-01,good service,5.0,2018,2
France,2018-12-01,"So easy to use, even if you speak no French at all",5.0,2018,2
France,2018-12-01,Pathetic,1.0,2018,0
France,2018-12-01,Rather bad trains and stations; staff is almost useless and rude,1.0,2018,0
France,2018-11-01,"Excellent way to get around, but showing its age in places",5.0,2018,2
France,2018-11-01,"Easy, cheap mode to get around",5.0,2018,2
France,2018-11-01,We took control of the city from the underground,5.0,2018,2
France,2018-11-01,dissapointing,3.0,2018,0
France,2018-10-01,USE THE METRO!!!,5.0,2018,2
France,2018-11-01,"Once you get the hang of it, its brilliant",5.0,2018,2
France,2018-11-01,Great way to travel,5.0,2018,2
France,2018-08-01,Almost like the tube,3.0,2018,2
France,2018-11-01,Easy and functional,5.0,2018,2
France,2018-11-01,very useful,5.0,2018,2
France,2018-11-01,Dark ages,1.0,2018,0
France,2018-09-01,Actually Paris Metro was not that bad.,3.0,2018,0
France,2018-10-01,Metro very confusing,1.0,2018,2
France,2018-10-01,Super easy way around Paris (and cheap and convenient!),5.0,2018,2
France,2018-10-01,Mí-eagrú agus eagla,1.0,2018,0
France,2018-10-01,Metro nightmare,3.0,2018,0
France,2018-10-01,Reaching all the landmarks,5.0,2018,2
France,2018-10-01,Rude and unhelpful staff attitude and security poor,1.0,2018,0
France,2018-10-01,Easy to use but please stop using paper tickets,5.0,2018,2
France,2018-09-01,Actually Quite Easy,5.0,2018,2
France,2018-10-01,Complete waste of time,1.0,2018,0
France,2018-10-01,Metro works fine but transit authority questionable,1.0,2018,0
France,2018-09-01,Still My Main Mode of Transportation!,5.0,2018,2
France,2018-10-01,Cheap and fast!,5.0,2018,2
France,2018-10-01,Pickpocket,3.0,2018,2
France,2018-10-01,It's a Metro,5.0,2018,2
France,2018-10-01,Well connected,5.0,2018,2
France,2018-09-01,Convenient way to avoid the car traffic and move quickly across Paris,5.0,2018,2
France,2018-10-01,easy way to travel,3.0,2018,2
France,2018-10-01,It gets you around,3.0,2018,2
France,2018-10-01,Day pass con to trap unsuspecting tourist,1.0,2018,0
France,2018-10-01,Secure,5.0,2018,0
France,2018-09-01,Love and hate,3.0,2018,1
France,2018-09-01,Fantastic system,5.0,2018,2
France,2018-08-01,Worst service ever,1.0,2018,0
France,2018-10-01,Hate it,1.0,2018,0
France,2018-10-01,Warning! Do not get stuck in the doors,1.0,2018,0
France,2018-10-01,FABULOUS WAY TO GET AROUND PARIS,5.0,2018,2
France,2018-08-01,Really easy and affordable,5.0,2018,2
France,2018-09-01,Use it again and again and you'll get used to it and save $$$,5.0,2018,2
France,2018-10-01,Easy to follow - Affordable,5.0,2018,2
France,2018-10-01,Keep your wits about you. Adventurous way to get about!,3.0,2018,2
France,2018-10-01,Take the Metro or not?,5.0,2018,2
France,2018-09-01,DON’T BUY THE MULTI DAY TICKETS!!!! Just get a set of 10.,5.0,2018,2
France,2018-09-01,Best way to get around Paris,5.0,2018,2
France,2018-10-01,Feel like you live in Paris!,5.0,2018,2
France,2018-09-01,Cheap to use,5.0,2018,2
France,2018-08-01,Quickest transport in Paris,5.0,2018,2
France,2018-08-01,Efficient system...but read the following tips...,5.0,2018,2
France,2018-09-01,Very efficient!,5.0,2018,2
France,2018-07-01,Great way to get around Paris cheaply,5.0,2018,2
France,2018-09-01,One of the best transportation in Paris,5.0,2018,2
France,2018-09-01,Good to get around Paris. Take care with ticketing,5.0,2018,2
France,2018-09-01,Good way to get around,5.0,2018,2
France,2018-05-01,Great Way to Move Around Town,5.0,2018,2
