Category,Year,Passenger Car Traffic,Bus and Motor Coach Traffic,"Total Van, Pickup, Lorry and Road Tractor Traffic"
Netherlands,2017,0.8991222970153466,0.009413741022180106,0.20025225123915577
Netherlands,2018,0.8961353925328814,0.008727703745716088,0.20473109640949086
Netherlands,2019,0.8922075826338622,0.008273925304805724,0.21040968995502166
Netherlands,2020,0.8643730063660701,0.007147801684795887,0.2496672844233633
Netherlands,2021,0.8655755561167878,0.00637889890070812,0.24835620269079903
North Macedonia,2016,0.8682229101871374,0.057073415516233746,0.2208010952526673
North Macedonia,2017,0.8715074499592109,0.06037057957623434,0.21467857485381522
North Macedonia,2018,0.8618098107206996,0.07393543487165483,0.22178366225331006
North Macedonia,2019,0.8891117886744233,0.08039816293070656,0.18075411728289117
North Macedonia,2020,0.9047659750029629,0.02714305966394747,0.18405135701719919
North Macedonia,2021,0.9117031741407015,0.02518859768542396,0.17531971113163416
Norway,2016,0.8673998037873979,0.036067081046873506,0.23187372495838207
Norway,2017,0.8685146874708315,0.03573952322657128,0.23047627160843068
Norway,2018,0.8690406319000248,0.03551474814788615,0.22978062546483471
Norway,2019,0.8654739505155189,0.03629345620484336,0.23444590627526699
Norway,2020,0.8623067777941475,0.035738948526667376,0.23911518039445848
Norway,2021,0.8643670814626492,0.03052140934449228,0.2386690368945246
Poland,2016,0.9240882141071627,0.01977422067427291,0.1606375292667053
Poland,2017,0.9263976434248479,0.0179590042954713,0.15827910646413598
Poland,2018,0.926856260004008,0.01780695154155578,0.15771261641791687
Poland,2019,0.9271055722601619,0.01780068386004425,0.1573686901621311
Poland,2020,0.9248910696437641,0.0122620244234184,0.1630579336485247
Poland,2021,0.9254288288326524,0.012298208364394722,0.16229268993909682
Romania,2016,0.8594649156278565,0.18419809263821832,0.17312418294728063
Romania,2017,0.8588316671029415,0.18755676916573505,0.17242366527078076
Romania,2018,0.8580696865929146,0.19142975401217416,0.1716600726347329
Romania,2019,0.8571858492221885,0.1956931496241512,0.17088218202749847
Romania,2020,0.8561827707308182,0.20040741481114024,0.17005788438072836
Romania,2021,0.8550205569326207,0.2056675865258622,0.16917200126765444
Slovenia,2016,0.9178417161316192,0.01689743120701214,0.170683183439066
Slovenia,2017,0.9143133629718101,0.016914191759552506,0.17569710465026592
Slovenia,2018,0.9106337968751858,0.01690157123408048,0.1808203008049307
Slovenia,2019,0.9089576612684167,0.016995164893462707,0.18289020781787782
Slovenia,2020,0.8878787700710044,0.00857014966743694,0.2161571355864241
Slovenia,2021,0.8868376188417901,0.010116117119443898,0.21701364875748
Spain,2016,0.8998711575195256,0.029300398783136332,0.18984582563545002
Spain,2017,0.8878575270550656,0.015454017018026725,0.21308102657198433
Spain,2018,0.8871137582740787,0.015717400023757704,0.2139918350284097
Spain,2019,0.8844712729033962,0.01596122663544379,0.2175658208911395
Spain,2020,0.8719618629031871,0.012979345174295017,0.23636257961379234
Spain,2021,0.858610347529828,0.013953419494611553,0.2544803674396916
Sweden,2016,0.9147942124530494,0.033597573911412215,0.16705929514644666
Sweden,2017,0.912898123432926,0.0335017090215365,0.16974253845698203
Sweden,2018,0.9100224807024321,0.03318101421481384,0.17389454333138568
Sweden,2019,0.9085925499634695,0.0339322723487605,0.17553029768156467
Sweden,2020,0.896129076695756,0.032372729711614694,0.19360558355595006
Sweden,2021,0.8938714033156346,0.030732220277770263,0.19751927681695133
Switzerland,2016,0.9999999999999999,1.8164454083071692e-05,0.06432156853233864
Switzerland,2017,0.9997297506216326,0.0,0.06470613035185827
Switzerland,2018,0.9986958256009014,7.400973945662515e-05,0.06610981900327409
Switzerland,2019,0.9975915905320475,0.00016007951458076475,0.0676056537133258
Switzerland,2020,0.982933474791761,0.0002993986104470334,0.08793444576811302
Switzerland,2021,0.9864694766849934,0.00026815957143075126,0.08302938148382591
United Kingdom,2016,0.8707164286579172,0.020108408060077576,0.2347383670962375
United Kingdom,2017,0.8688229611359682,0.019088424066520962,0.23785312513636256
United Kingdom,2018,0.868201163413327,0.01768476968187565,0.23937922846524903
United Kingdom,2019,0.8691999587698048,0.01673097221561462,0.23843870379996582
United Kingdom,2020,0.8299422719494651,0.01367966554284637,0.29449626560997977
United Kingdom,2021,0.8324515865541783,0.013626512900543458,0.2910299895680726
Belgium,2016,0.8817298211451121,0.013720684534946221,0.22242295379685642
Belgium,2017,0.8761883433085568,0.013416204636354253,0.2302607321640934
Belgium,2018,0.8789590822268344,0.013568444585650237,0.2263418429804749
Belgium,2019,0.8789590822268344,0.013568444585650237,0.2263418429804749
Belgium,2020,0.8789590822268344,0.013568444585650237,0.2263418429804749
Belgium,2021,0.8789590822268344,0.013568444585650237,0.2263418429804749
