Reviewer,Contributions,Score,Review Text,Date
Graham G,Graham G,5.0,"Fantastic - do yourself a favour see Malta, especially Valletta",2022-08-01
Shoshan,Shoshan,1.0,Thanks for the severe anxiety :),2022-08-01
Neil V,Neil V,1.0,Avoid tallinja,2022-08-01
Ang W,Ang W,5.0,Excellent value transport,2022-08-01
Judith C,Judith C,5.0,Great value for money,2022-07-01
Solo travel,Solo travel,1.0,BUSES RUN BY CLOWNS,2022-07-01
Elli Kaftantzi,Elli Kaftantzi,4.0,Puplic Transportation,2022-07-01
LondonKiwi73,LondonKiwi73,3.0,"Gets you to most parts of the island, as long as you don't have a deadline",2022-06-01
jonahag_jones,jonahag_jones,5.0,Very efficient and cheap,2022-07-01
Mateusz,Mateusz,5.0,Tallinja - an adventure,2022-07-01
aTom1901,aTom1901,1.0,Dont do this to yourself,2022-07-01
Mario P,Mario P,1.0,Where is the bus?,2022-07-01
tpaine2016,tpaine2016,5.0,"Reliable, cheap, and user friendly",2022-06-01
antónio s,antónio s,3.0,....for two euros...,2022-06-01
Lazaros K,Lazaros K,2.0,Terrible,2022-06-01
Σάσα,Σάσα,1.0,Very BAD BUS SERVICE,2022-06-01
Ágnes F,Ágnes F,1.0,Disappointed,2022-06-01
Stephen D,Stephen D,5.0,Easy to use,2022-05-01
223Teen,223Teen,2.0,Far nicer countries to visit. Greedy Maltese have no consideration for their main economy.,2022-06-01
Larkhall,Larkhall,3.0,Same problems as home,2022-05-01
The OB's,The OB's,5.0,Better than the UK,2022-05-01
jurgen,jurgen,1.0,dissapointed,2022-05-01
Petra N,Petra N,2.0,Public transportation & Tallinja app,2022-04-01
Lynden M,Lynden M,5.0,The safest way to get around the islands,2022-04-01
Karen B,Karen B,5.0,Getting around Malta and Gozo,2022-04-01
Владимир В,Владимир В,2.0,Chaotic,2022-04-01
jim m,jim m,4.0,busy buses,2022-03-01
KEVIN R,KEVIN R,4.0,Great way to get around |Malta to see the sights.,2022-03-01
kay b,kay b,3.0,Bus Station Toilets,2022-03-01
LiW,LiW,3.0,Usually not on-time but very convenient for visitors,2021-11-01
Dgd,Dgd,5.0,Great bus service for the whole island,2021-11-01
Paul_Merrywest,Paul_Merrywest,1.0,Buses not maintained properly,2021-10-01
bilco99,bilco99,5.0,By a 7 Day pass,2021-10-01
guennie3,guennie3,5.0,Best transport system ever!!,2021-09-01
George G,George G,5.0,Good bus service & app,2021-09-01
Johnatan D,Johnatan D,1.0,"Doesn’t work, simple as that.",2021-10-01
Marc W,Marc W,1.0,Avoid,2021-10-01
Greyvanman,Greyvanman,4.0,Good Service Backed by a Good App,2021-09-01
Ma,Ma,1.0,Bad,2021-10-01
Dexter,Dexter,1.0,Check the website regarding cash payments,2021-09-01
jnewman1964,jnewman1964,5.0,The best way to travel,2021-09-01
Steph L,Steph L,1.0,Idiotic system - designed to scam you out of money,2021-09-01
Ziedonis,Ziedonis,1.0,It's not reliable,2021-09-01
fssutton1,fssutton1,5.0,great,2021-09-01
Mark C,Mark C,3.0,Enjoy your trips.,2021-08-01
Kishor Choudhari,Kishor Choudhari,4.0,"Very good service, no need for private taxis",2021-08-01
Alexis Duchemann,Alexis Duchemann,1.0,Awful service. VERY unfortunate.,2021-08-01
Baiba G,Baiba G,1.0,"Didn`t think it`s that bad, but it is!",2021-08-01
Sophie D,Sophie D,1.0,Worst transport service ever,2021-08-01
Kathy S,Kathy S,5.0,Malta touring,2021-08-01
Mark,Mark,1.0,"Buses late, contactless readers frequently don't work, mask wearing is very poor.",2021-08-01
Laura A,Laura A,2.0,Irregular and rude - sadly not great,2021-08-01
Tinabina,Tinabina,2.0,Always late,2021-07-01
TJ.,TJ.,4.0,Great transportation in Malta,2021-06-01
DavidAHughes,DavidAHughes,5.0,Buses cheap and frequent,2021-06-01
Brian,Brian,5.0,The best way to travel around Malta,2021-06-01
Racek p,Racek p,1.0,Nightmare,2021-06-01
Brian D,Brian D,1.0,ZERO reliability,2021-05-01
dianeagrigento,dianeagrigento,1.0,Ugh terrible!,2021-06-01
Perica V,Perica V,1.0,Disaster company,2021-05-01
Hannane,Hannane,1.0,Horrible service.,2021-05-01
Kelly V,Kelly V,1.0,Terrible service,2021-05-01
Ann,Ann,1.0,Terrible,2021-03-01
StashJ,StashJ,4.0,Not the best,2020-12-01
Maria,Maria,4.0,Efficient way to travel around,2020-09-01
Aragorn65,Aragorn65,4.0,"Reliable, clean, comfortable buses!",2020-10-01
eggtimer2016,eggtimer2016,3.0,Tallinja and Malta Transport,2020-09-01
Paulo F,Paulo F,2.0,"Good network, awful drivers with no education",2020-08-01
Marchbirdy,Marchbirdy,5.0,Reliable and Regular,2020-08-01
countrycollector,countrycollector,4.0,Easy between Valetta and St Julians,2020-07-01
Michelle Q,Michelle Q,5.0,Great bus service,2020-07-01
Leo,Leo,1.0,Really bad service,2020-07-01
Coryy20,Coryy20,5.0,Good service,2020-01-01
Mymichmashlife,Mymichmashlife,5.0,Above and beyond! The drivers are fantastic!,2020-07-01
Brigi Nagyfi,Brigi Nagyfi,5.0,Amazing bus driver,2020-05-01
Gillie86,Gillie86,5.0,Amazing value,2020-03-01
Rita,Rita,5.0,Travel,2019-06-01
robert C,robert C,5.0,Malta buses,2020-03-01
Caroline013,Caroline013,1.0,The worst public transportation system I have ever experienced!,2020-03-01
Jonathan B,Jonathan B,5.0,Great bus service,2020-03-01
dr7575,dr7575,5.0,Good value,2020-03-01
Chouskikou,Chouskikou,4.0,Very Efficient and Cheap,2020-03-01
Karen G,Karen G,4.0,Easy,2020-02-01
jimo1981,jimo1981,4.0,You can go everywhere...,2020-02-01
LJjor,LJjor,1.0,Fraud,2020-02-01
PostcardsFromPD,PostcardsFromPD,5.0,7 day unlimited travel,2020-02-01
Emma,Emma,1.0,Don't use if solo - drivers don't stop at bus stops at night.,2020-02-01
Alan,Alan,5.0,Fabulous service credit to the country,2020-02-01
Mr Ross,Mr Ross,5.0,The only way to travel,2020-02-01
Denise Rea,Denise Rea,5.0,Good way to travel,2020-02-01
Natalia,Natalia,4.0,Explore Card- cheap and pretty good option,2020-02-01
Paul C,Paul C,5.0,Best ever,2020-02-01
Jimvin,Jimvin,4.0,Good bus ride,2020-02-01
Eva-vdub,Eva-vdub,5.0,Use them but plan!!!,2020-02-01
Vfrphil,Vfrphil,4.0,Lots of buses,2020-01-01
Nigel B,Nigel B,4.0,Excellent service to all parts of the island,2020-02-01
Firstguy72,Firstguy72,3.0,Hit and miss - be patient!,2020-02-01
Inspire268008,Inspire268008,4.0,Very modern,2020-01-01
An P,An P,1.0,Terrible service,2020-02-01
perle369,perle369,4.0,Very good service,2020-01-01
sandrosaina,sandrosaina,4.0,Solid,2019-12-01
rocksadelew,rocksadelew,3.0,A mixed bag,2020-02-01
mikeunitt,mikeunitt,5.0,Great Value,2020-01-01
Jackie A,Jackie A,5.0,Excellent 😁,2019-09-01
trainbob,trainbob,5.0,can't praise enough,2020-02-01
PipH,PipH,5.0,Great Way to Travel,2020-01-01
853barry,853barry,5.0,Great way to get around the Island.,2019-10-01
Supersonic75,Supersonic75,5.0,Wonderful!,2020-01-01
lynda j,lynda j,5.0,"Very easy, no need for a car",2020-01-01
judith b,judith b,4.0,Buses,2020-01-01
Jimbo,Jimbo,5.0,Don’t hire a 🚗!,2020-01-01
Denis F,Denis F,4.0,"Good service, bad traffic.",2020-01-01
A J,A J,5.0,Our Two 7 day Explore cards only cost the equivalent to a return taxi trip to the Airport !,2020-01-01
Dušan BGD,Dušan BGD,4.0,Cheap transport,2020-01-01
Elaine H,Elaine H,5.0,Public buses,2020-01-01
Michael T,Michael T,1.0,Failure Cascade,2020-01-01
Finchduck1981,Finchduck1981,5.0,Bargain!,2020-01-01
longlegs,longlegs,5.0,Great service,2019-12-01
highroller58,highroller58,5.0,"Brilliant timely service, however very busy",2019-12-01
Susan Neal,Susan Neal,5.0,Brilliant,2019-12-01
Nichlas R,Nichlas R,1.0,Never even made it on the bus,2019-12-01
VILMA V,VILMA V,5.0,Tallinja car ExplorePlus is worth!,2019-12-01
Brambly Hedge,Brambly Hedge,5.0,Mellieha to Valletta 41/42,2019-12-01
ToEatOrNotToEatBlog,ToEatOrNotToEatBlog,1.0,Well it is sort of public transport for the peasants.,2019-12-01
mlippa,mlippa,1.0,Bus,2019-12-01
Roy C,Roy C,3.0,"Push, Push, On the Bus and Around Malta",2019-11-01
Tony H,Tony H,5.0,Top service,2019-12-01
heather T,heather T,5.0,"Efficient, and regular service that's cost effective",2019-12-01
Charlotte J,Charlotte J,3.0,No air Conditioning and cramped,2019-07-01
Pattyg1251,Pattyg1251,5.0,excellent Public Transport,2019-12-01
Sandra B,Sandra B,5.0,Getting around malta,2019-12-01
Iacopo F,Iacopo F,1.0,Not worthy of a European Country,2019-10-01
Konrad K,Konrad K,4.0,Direct Busses,2019-12-01
Athanasios M,Athanasios M,5.0,Very reliable,2019-12-01
JohnSchof,JohnSchof,4.0,Cheap and cheerful,2019-12-01
Patrick D,Patrick D,5.0,Easy to get around,2019-12-01
pswalker2001,pswalker2001,4.0,Very good bus services,2019-11-01
tonyvee8,tonyvee8,4.0,Good Island service,2019-11-01
St39,St39,4.0,"Good way to get round Malta and cheap, but...",2019-11-01
John C,John C,5.0,And did it rain!,2019-11-01
Ann H,Ann H,4.0,All you need is the pass!,2019-11-01
WandaCox,WandaCox,1.0,Non existing in summer.,2019-11-01
caliewarlie,caliewarlie,5.0,Local buses great,2019-11-01
John H,John H,4.0,We got to everywhere we wanted on the island and back again for dinner,2019-11-01
GrandmaT,GrandmaT,3.0,Overcrowding,2019-11-01
shah,shah,1.0,Extremely unreliable,2019-11-01
takis Kallias,takis Kallias,4.0,Not sure,2019-11-01
Jonathan S,Jonathan S,5.0,Buses are frequent and cheap,2019-11-01
p c,p c,5.0,A convenient and economical way to explore,2019-10-01
Patrick-Maria,Patrick-Maria,5.0,"Very convenient, cheap and great way to explore Malta",2019-11-01
Valenciavancouver,Valenciavancouver,5.0,Efficient and Frequent Service,2019-11-01
Paul B,Paul B,5.0,Very impressive,2019-10-01
MazeTee,MazeTee,1.0,Completely unacceptable.,2019-11-01
Mrs_S,Mrs_S,4.0,Local Buses,2019-11-01
cristoste,cristoste,4.0,Good transport,2019-10-01
Paul H,Paul H,2.0,No Change Here Them,2019-11-01
Okraza,Okraza,1.0,some drivers are unfrendly + scamming issue,2019-09-01
David M,David M,5.0,Usually very late but cheap €1.50 typically,2019-10-01
Venshen6,Venshen6,1.0,You might crash,2019-10-01
Max,Max,3.0,"Great prices, service sometimes disappointing",2019-09-01
pjrush2016,pjrush2016,4.0,Cheap and easy to use,2019-10-01
Barrie Bee,Barrie Bee,5.0,Most modern bus fleet in Europe.,2019-10-01
Rachel,Rachel,4.0,Too much traffic but the best way to travel,2019-10-01
rosie n,rosie n,5.0,Cheap and very convenient. Sometimes crowded,2019-10-01
AnonLT,AnonLT,4.0,A good way to visit Malta,2019-10-01
amanda d,amanda d,5.0,Cheap and frequent,2019-10-01
Miervaldis I,Miervaldis I,3.0,"Okay, but could be better",2019-10-01
GaryPam442,GaryPam442,4.0,Interesting Journey,2019-10-01
Andrew C,Andrew C,5.0,Great,2019-10-01
MarpleTraveller,MarpleTraveller,5.0,Great way to get around,2019-10-01
Nelson Bear’s Mum,Nelson Bear’s Mum,5.0,Don’t hesitate to use this,2019-09-01
Sheila K,Sheila K,3.0,Be prepared,2019-10-01
charlescaliroy,charlescaliroy,2.0,Transport by Public Buses,2019-10-01
Dainis D,Dainis D,5.0,easy to use service,2019-10-01
Jade W,Jade W,2.0,Buses,2019-10-01
Kevin G,Kevin G,5.0,Excellent,2019-10-01
jane,jane,3.0,Buses,2019-10-01
sball9728@gmail.com,sball9728@gmail.com,4.0,Good way to get around,2019-09-01
The_Leprechaun_in_UK,The_Leprechaun_in_UK,5.0,Buses go everywhere but timetable a laugh,2019-10-01
Edmund L,Edmund L,5.0,Anniversary celebrations,2019-09-01
Marloesvz,Marloesvz,3.0,Good public transport system,2019-10-01
Jane T,Jane T,3.0,Frequent bus service,2019-09-01
Teresa S,Teresa S,5.0,Nice Public Transportation,2019-10-01
Wheelbuy,Wheelbuy,5.0,Great wheelchair access,2019-10-01
Sue W,Sue W,4.0,Buses,2019-10-01
Nikki245,Nikki245,5.0,Great service,2018-11-01
Go586014,Go586014,4.0,Malta public transport,2019-10-01
pablo1shot,pablo1shot,5.0,Cracking service,2019-10-01
Tassia I,Tassia I,5.0,Fantastic service,2019-09-01
koolkat91,koolkat91,3.0,Good cheap way to get around,2019-09-01
Toheem,Toheem,4.0,Not perfect but we got there......eventually.,2019-09-01
glugSussex,glugSussex,5.0,Good value and easy to use,2019-09-01
phillipk8,phillipk8,4.0,Great pass,2019-10-01
TerryfromToledo,TerryfromToledo,5.0,Good Way to Get Around,2019-10-01
Ben and Nancy Laroche,Ben and Nancy Laroche,5.0,Great way to see and feel Malta,2019-10-01
Natalie Poole,Natalie Poole,5.0,Fabulous,2019-10-01
125bernardc,125bernardc,4.0,Reliable and convenient...,2019-09-01
HP,HP,4.0,Good transport system,2019-09-01
Bonita S,Bonita S,4.0,"Very good, well used, bus system",2019-09-01
Christine C,Christine C,5.0,Maltas public transport,2019-09-01
D G,D G,5.0,great heart of transport in malta,2019-09-01
Elaine H,Elaine H,5.0,remember its public transport in a hot country,2019-09-01
g_d_edwards,g_d_edwards,5.0,Be Adventurous - Use the Excellent Public Transport!,2019-09-01
Joanna R,Joanna R,5.0,You can go everywhere,2019-09-01
Martin G,Martin G,4.0,Cheap and effective but can be crowded,2019-09-01
Lynn H,Lynn H,5.0,Woww what a great bus service,2019-09-01
Jayne B,Jayne B,5.0,Best way to travel,2019-09-01
JanPez,JanPez,5.0,Can’t fault it,2019-09-01
MalcH,MalcH,5.0,Best way to see the island,2019-09-01
654maureenm,654maureenm,5.0,Good public transport for all over the Island,2019-09-01
Greggy,Greggy,4.0,Okay,2019-08-01
Kev Kelley,Kev Kelley,5.0,ease of use,2019-09-01
Janet m,Janet m,5.0,Very easy to use,2019-08-01
CleethorpesGtfcfan,CleethorpesGtfcfan,4.0,Preferred old buses but cheap and plentiful,2019-09-01
dinners,dinners,5.0,"Excellent, frequent and cheap.",2019-09-01
Sweetpea25,Sweetpea25,5.0,Excellent Bus Service,2019-09-01
Hayleywise,Hayleywise,5.0,So easy to use,2019-09-01
Albi,Albi,2.0,Dissapointed,2019-09-01
EJLH,EJLH,2.0,"Good value, haphazard reliability",2019-09-01
kanddLeighGtrMcr,kanddLeighGtrMcr,4.0,Pretty efficient!,2019-09-01
Claire R-B,Claire R-B,5.0,Incredibly good value,2019-09-01
cyclingnomad,cyclingnomad,5.0,Reliable and easy to uae,2019-09-01
Stacey G,Stacey G,3.0,Affordable and comfortable,2019-09-01
Jake H,Jake H,3.0,A great place,2019-08-01
romac_9,romac_9,4.0,Inexpensive way around Malta,2019-08-01
Karen C,Karen C,5.0,easy to use,2019-08-01
Allen S,Allen S,1.0,Nightmarish!,2019-04-01
Bigman001,Bigman001,4.0,"Very good, and cheap",2019-08-01
Martin K,Martin K,4.0,Good value for money but punctuality leaves a lot to be desired.,2019-03-01
Eddie B,Eddie B,5.0,Malta bus system,2019-08-01
theopi22,theopi22,4.0,Much better than expected,2019-08-01
Phill H,Phill H,1.0,Was stolen from my a bus driver,2019-08-01
Baross,Baross,3.0,8 days in Malta,2019-08-01
nj2018,nj2018,4.0,Good Value for money but can be difficult to get sometimes,2019-08-01
Ingrid,Ingrid,5.0,very fine,2019-08-01
LDA75,LDA75,3.0,Good but communication system is failed and old fashioned,2019-08-01
Kostas K.,Kostas K.,3.0,Mediocre cheap services,2019-08-01
simon p,simon p,5.0,Really useful,2019-08-01
Titus C.,Titus C.,2.0,Not very reliable,2019-08-01
Donna P,Donna P,5.0,Getting around,2019-08-01
ShaIng,ShaIng,5.0,"Easy, value for money transport.",2018-09-01
cobbers2,cobbers2,5.0,Excellent service,2019-08-01
Laura M,Laura M,5.0,"Reliable, affordable service",2019-08-01
Shellykins2013,Shellykins2013,4.0,Low cost travel around Malta,2019-07-01
Gabs,Gabs,1.0,Horrifying experience,2019-07-01
Jeffrey H,Jeffrey H,5.0,Good convenient transport,2019-07-01
Travel hunt L,Travel hunt L,2.0,Good if you have no other alternative but too overcrowded,2019-06-01
Nezza,Nezza,3.0,Locations to purchase bus passes out of date,2019-07-01
lowryepp,lowryepp,4.0,Buses!,2019-04-01
reemchris,reemchris,4.0,Great value for money.,2019-07-01
Gizzmo99,Gizzmo99,2.0,Travel system to the airport unsuitable,2019-07-01
Gudrun Birna L,Gudrun Birna L,4.0,Easy to use,2019-07-01
Minegeo,Minegeo,4.0,Great Bus System,2019-06-01
laczkozsu,laczkozsu,4.0,Using Tallinja Card,2019-07-01
natalie taylor,natalie taylor,4.0,"Plenty of routes and frequent buses, reasonably priced",2019-07-01
Carmen568,Carmen568,5.0,Easy way to Travel,2019-06-01
michelle h,michelle h,5.0,Great Value,2019-06-01
Deborah K,Deborah K,4.0,Getting around,2019-06-01
tuuuut,tuuuut,5.0,Convenient but not in the rush hours,2019-06-01
TonyC_Austin,TonyC_Austin,4.0,"Mostly handy, but sometimes does not run often enough.",2019-06-01
Vickym830,Vickym830,5.0,Great way to get around,2019-06-01
Mike W,Mike W,4.0,Frequent & cheap but sometimes over crowded,2019-06-01
Gerri S,Gerri S,3.0,Tourist Tallinja card,2019-06-01
Anita B,Anita B,4.0,Great way to get around the Island,2019-06-01
CSB211262,CSB211262,4.0,Make sure you buy a pass,2019-06-01
Aladdin C,Aladdin C,2.0,Rent a car,2019-06-01
Nikolai M,Nikolai M,1.0,In the country with the highest population density ...,2019-05-01
Scotty102,Scotty102,3.0,"Saving grace is that it's cheap, only €2 per journey.",2019-06-01
Michael H,Michael H,5.0,Super service,2019-06-01
Vinz,Vinz,1.0,"If you need to go somewhere with a bus, GOOD LUCK! (Take your day)",2019-06-01
Frequent Traveler,Frequent Traveler,5.0,An adventure,2019-06-01
CatalanTravellers,CatalanTravellers,1.0,WORST BUS SERVICE EVER,2019-06-01
Les!ey,Les!ey,4.0,Cheap and frequent.,2019-06-01
johnvval,johnvval,3.0,dont inform you about bus pass,2019-03-01
wessex-andy,wessex-andy,5.0,Excellent,2019-04-01
vagabondafelice,vagabondafelice,4.0,Cheap travel!,2019-06-01
MikeG104,MikeG104,5.0,Best value public transport ever,2019-06-01
Germán J,Germán J,2.0,Not worth the money,2019-06-01
shirleybalmforth,shirleybalmforth,5.0,Safe and sound!,2019-05-01
Nigel W,Nigel W,5.0,The way to Travel,2019-06-01
msugarm,msugarm,4.0,Relatively easy to use,2019-06-01
Glenys85,Glenys85,5.0,Good,2019-05-01
Julie D,Julie D,4.0,great way to travel,2019-05-01
Joangle,Joangle,4.0,Very accessible,2019-05-01
Ian W,Ian W,4.0,Weird To Review,2019-05-01
fcfcfc2015,fcfcfc2015,5.0,Good value,2019-05-01
Alang004,Alang004,3.0,Very rude driver,2019-05-01
Geraldine S,Geraldine S,1.0,Dishonest scam,2018-10-01
Gary F,Gary F,5.0,Best value public transport I’ve found!,2019-05-01
BarrieLV,BarrieLV,5.0,Crowded often but a great and cheap service,2019-05-01
Radka J,Radka J,5.0,"Forget hop on hop off, buy tallinja card",2019-05-01
Hetty52,Hetty52,3.0,Found the app to be frustrating,2019-05-01
Pyza P,Pyza P,1.0,Horrible trip,2019-05-01
radu_olinescu,radu_olinescu,1.0,Poor Service Level and No Feedback after Filing a Complaint,2019-04-01
Jeff H,Jeff H,2.0,Bus trips,2019-05-01
DennyDog,DennyDog,5.0,Really good way to travel the Island,2019-05-01
Vasw A,Vasw A,1.0,Maltas transportation,2019-05-01
Cave M,Cave M,1.0,Worthless,2019-05-01
Andreas A,Andreas A,1.0,Worst public transport in Europe,2018-06-01
Tufty59,Tufty59,1.0,Worse than 30 years ago,2019-04-01
Pawelby,Pawelby,1.0,It's awful transport system I've ever met,2019-05-01
springchicken67,springchicken67,5.0,Buy a bus travel card,2019-05-01
Dianne B,Dianne B,3.0,Bus times unpredictable,2019-03-01
Charles S,Charles S,5.0,An efficient means of transport all over Malta,2019-04-01
ideal21,ideal21,3.0,just ok,2019-04-01
jim r,jim r,5.0,The only way to travel,2019-04-01
vegplot15,vegplot15,4.0,Buses on time. Passengers don’t queue!!,2019-04-01
Diane S,Diane S,4.0,Good value if you use for a week,2019-04-01
Anita37,Anita37,5.0,Only wat to travel around Valletta,2019-04-01
matthiasyorkshire,matthiasyorkshire,5.0,excellent value,2019-04-01
lily_indy,lily_indy,1.0,Terrible...but what choice does a tourist have?!,2019-04-01
Deborah F,Deborah F,4.0,Great card but tallinja app is lacking,2019-04-01
Cathy B,Cathy B,4.0,Great transport system in Malta.,2019-04-01
Chaddlad,Chaddlad,4.0,Great company,2019-03-01
7shrewsburypaul,7shrewsburypaul,4.0,A good way to get around,2019-04-01
LiamHerlihy,LiamHerlihy,5.0,Very efficient when you know the number,2019-04-01
hotoneinspain,hotoneinspain,4.0,Buses around Malta,2019-02-01
Gary A,Gary A,5.0,Great way to Explore,2019-04-01
judithyo,judithyo,3.0,cheap- but not efficient,2019-03-01
Daydream580082,Daydream580082,1.0,DON’T USE THE BUSES,2019-04-01
Smh2009,Smh2009,4.0,malta buses,2019-04-01
Mandy A,Mandy A,4.0,Very good bits but also very bad bits,2019-04-01
MarpleTraveller,MarpleTraveller,5.0,Great Way to get around,2019-03-01
Peter T,Peter T,2.0,Not at all good!!,2019-04-01
Maja I,Maja I,2.0,Impossible to rate,2019-04-01
JAKEdinburgh,JAKEdinburgh,4.0,No problem,2019-04-01
L3K,L3K,3.0,Convenient but can be erratic,2019-03-01
PhilipOxford,PhilipOxford,5.0,....convenient and great value....,2019-03-01
charlesg260952,charlesg260952,4.0,Cheap travel,2019-03-01
David G,David G,5.0,Excellent value,2019-03-01
Bruce H,Bruce H,5.0,The Malta Public Transport system is amazing. Don't be afraid it's an island.,2019-03-01
IAN S,IAN S,5.0,Buses so cheap and reliable,2019-03-01
Bernadette C,Bernadette C,4.0,Cheap but busy,2019-03-01
Scoosh77,Scoosh77,3.0,Erratic times and can be very busy,2019-03-01
Paige Claxton,Paige Claxton,5.0,Best way to get around!,2019-02-01
