Reviewer,Contributions,Score,Review Text,Date
Trelemorele,Trelemorele,1.0,"Not cheap, fast, many stations, incompetent staff, machines out of order.",2021-09-01
Thomas V,Thomas V,4.0,"Fast Cheap Transit, But Not Accessible.",2021-07-01
fanuimhirahaon,fanuimhirahaon,4.0,"Very good, but seriously lacking hand sanitizer points.",2021-08-01
livinthedream,livinthedream,4.0,great way to get around Paris,2021-08-01
Harry,Harry,2.0,Disappointing,2021-08-01
jeparle2017,jeparle2017,5.0,Paris Métro Station Elevators and Escalators,2021-07-01
TravelluverCoDown,TravelluverCoDown,1.0,Horrendous experience,2021-06-01
Arthur,Arthur,4.0,I recommend it but be careful!,2020-06-01
Dimitris L,Dimitris L,5.0,An experience,2019-10-01
Vanessa P,Vanessa P,4.0,"Fast, affordable? not much accessible",2019-09-01
Jimmy the King,Jimmy the King,1.0,Paris Metro,2020-08-01
Mr Worldwide,Mr Worldwide,5.0,#1 Metro in world,2019-08-01
Leandro van Breet,Leandro van Breet,4.0,I love the Paris metro,2019-11-01
JnVSydney,JnVSydney,5.0,Amazing transport system....,2020-01-01
Toto,Toto,1.0,HORRIBLE,2019-04-01
Pandamedic,Pandamedic,4.0,Quick and easy,2020-02-01
Alice R,Alice R,4.0,So many steps,2020-02-01
Sara,Sara,4.0,on time,2019-12-01
alanw258,alanw258,5.0,15 seconds arrival till departure - Masterrpiece in cooperation,2020-03-01
lsrush,lsrush,3.0,Be very aware of your handbag on Metro,2020-03-01
TravelLover,TravelLover,4.0,Beware the Fare Inspector,2020-02-01
Aris B,Aris B,1.0,Terrible,2020-02-01
Nic,Nic,5.0,Brilliant staff and organised train schedule,2020-02-01
NikolinoPap,NikolinoPap,4.0,easy rides,2020-02-01
VETA V,VETA V,4.0,PARIS TRAVEL TICKET,2020-02-01
Iulia,Iulia,1.0,Metro scam tickets,2020-02-01
RickFLL,RickFLL,5.0,Quickest and Easiest Way to Get Around At the Right Price,2020-01-01
GlobetrotterJ16,GlobetrotterJ16,3.0,Good...if its works,2020-01-01
BrakiWorldTraveler,BrakiWorldTraveler,4.0,Overall very good,2019-12-01
Aleksandar,Aleksandar,5.0,Great,2019-10-01
Marissa,Marissa,1.0,Paris Metro,2020-01-01
Oscar Nazario,Oscar Nazario,5.0,Excellent Transportation,2019-10-01
Kev D,Kev D,1.0,Terrible,2020-01-01
Allen F,Allen F,1.0,metro not running,2019-12-01
Teo T,Teo T,1.0,Strike,2019-12-01
Ricardo_ReyLeon,Ricardo_ReyLeon,1.0,"Hell is not other people, it is the Paris Metro. Sartre got it wrong.",2019-12-01
Muhammad Mahad,Muhammad Mahad,1.0,Wasn’t Expecting This!,2019-06-01
Frank C,Frank C,1.0,Transit Strike made the Metro worthless,2019-12-01
Abdul M,Abdul M,5.0,Alert: Budget travel...a paris metro pass!,2019-08-01
flyfisher66,flyfisher66,4.0,The best way to move around Paris,2019-12-01
I visited this place🇬🇷🇨🇭🇬🇧🇳🇱🇺🇸,I visited this place🇬🇷🇨🇭🇬🇧🇳🇱🇺🇸,5.0,Best underground transport system that I know,2019-10-01
The Sane Adventurer,The Sane Adventurer,4.0,Low cost way to get around Paris....but beware of Pickpockets,2019-09-01
Tony Camp,Tony Camp,4.0,So cheap and reliable - best way around Paris,2019-08-01
Bosquito B,Bosquito B,1.0,Dirty rat hole with aggressive agents,2019-12-01
MarkGaby,MarkGaby,1.0,Scam in the Service Office Metro,2019-11-01
TexasTraveler3800,TexasTraveler3800,5.0,Low cost way to travel throughout Paris,2019-11-01
wiensch77,wiensch77,3.0,ALERT - if you travel to Paris on a weekend be prepared for station closures!,2019-11-01
Stacey I,Stacey I,4.0,Getting Around,2019-11-01
edzo33,edzo33,4.0,Easy to use,2019-11-01
Tamara Dj,Tamara Dj,5.0,Great value for money,2019-09-01
bill s,bill s,1.0,The 2nd time we wre a target for thieves.,2019-11-01
F-F,F-F,4.0,Paris Metro,2019-10-01
freetogoConnecticut,freetogoConnecticut,4.0,Generally good with a few big negatives,2019-09-01
MitsukoShigeeda🌴👒🍽🍷☕🇧🇷,MitsukoShigeeda🌴👒🍽🍷☕🇧🇷,5.0,Ótimo meio de transporte (Great means of transport),2019-11-01
Max W,Max W,4.0,"Anywhere you want, as long as you don't mind stairs",2019-10-01
Jackie M,Jackie M,5.0,Remember to get a picture to put on your Metro card!!!!!,2019-10-01
MJC98,MJC98,4.0,Useful but not efficient,2019-10-01
Leila,Leila,5.0,Paris bus,2019-11-01
TravelingBum10,TravelingBum10,3.0,Easy to use,2019-11-01
easterntreker,easterntreker,3.0,Metro to Versailles,2019-09-01
mhkhashaba,mhkhashaba,3.0,Bad experience,2019-10-01
paukie,paukie,4.0,"Very fast, good connections",2019-04-01
Eutyxis P,Eutyxis P,1.0,Thieves industry!!!,2019-10-01
Dragon789wv,Dragon789wv,3.0,Mixed,2019-09-01
hamed s,hamed s,1.0,Take care of yourself in the Paris metro,2019-10-01
Armen Pandola,Armen Pandola,5.0,THE PARIS WAY TO MOVE PEOPLE,2019-10-01
janis,janis,1.0,UGH!,2019-10-01
mickimoo222,mickimoo222,1.0,Late morning.,2019-10-01
gayle p,gayle p,5.0,"Comfortable, Easy to navigate, Inexpensive and the trains run frequently",2019-10-01
Thomas V,Thomas V,5.0,Practical Way to Get Around,2019-10-01
Susan S,Susan S,4.0,Heads up on the Paris Metro subway trains,2019-10-01
ThQ,ThQ,1.0,Useless help,2019-10-01
Marshall B,Marshall B,5.0,"Great (and indispensible) mode of transportation, but be aware of malfunctioning turnstiles",2019-10-01
Heli P,Heli P,4.0,"Fast connection, easy acces",2019-09-01
Dee,Dee,3.0,Metro in Paris,2019-09-01
Veronica Hunter,Veronica Hunter,5.0,The Paris Metro ...An independent way to Experience Paris,2019-09-01
hurwoc,hurwoc,1.0,Worst city transport,2019-09-01
gary382,gary382,4.0,efficient and clean,2019-09-01
Bea,Bea,1.0,Avoid and use your common sense,2019-08-01
HennessyWhite,HennessyWhite,1.0,TOURISTS BEWARE,2019-09-01
jessie,jessie,4.0,Buy Booklets of 10 to save money,2019-05-01
Muskie81,Muskie81,1.0,Pickpockets on the metro,2019-09-01
Dan,Dan,1.0,Fraud,2019-09-01
2Bostonians,2Bostonians,1.0,WARNING about Paris Metro,2019-09-01
DemiHale1,DemiHale1,5.0,Paris Navigo Decouverte Pass,2018-10-01
Tal_Hameed,Tal_Hameed,5.0,Great Subway System,2019-07-01
Dr Benjamin P,Dr Benjamin P,5.0,Métro update,2019-09-01
ranipendse,ranipendse,4.0,Easy and convenient,2019-09-01
Stars,Stars,1.0,"Not disabled friendly, and the 'inspectors' are vile",2019-09-01
IftekharA-Sep2016,IftekharA-Sep2016,4.0,Best way to get around in Paris,2019-08-01
ratp20,ratp20,1.0,Be aware of the Paris RATP Metro inspectors exploit their legal power to make fine money inappropriately on tourists,2019-08-01
Z Factor,Z Factor,5.0,Navigo Easy Smartcard,2019-09-01
Mark,Mark,5.0,The easiest with practice.,2019-08-01
tinabeeman,tinabeeman,5.0,The Metro,2019-08-01
James Weaver,James Weaver,5.0,This is the most efficient mode of transportation...,2019-09-01
bonsi7,bonsi7,4.0,Best way from A to B,2019-09-01
Martin S,Martin S,5.0,Easy to navigate,2019-08-01
Tara R,Tara R,5.0,Paris metro,2019-03-01
Ruth David N,Ruth David N,1.0,Metro “police”,2019-08-01
Sandra M,Sandra M,5.0,This is the way to go in Paris!,2019-08-01
rmacolque,rmacolque,2.0,Good transportation but...,2019-08-01
romanshorner,romanshorner,5.0,"Comfortable, Quick, Safe and Cheap way to discover Paris",2018-09-01
Katy M,Katy M,1.0,Metro turnstile pickpocket scam,2019-08-01
Travel R,Travel R,2.0,Needs TLC,2019-08-01
Stempleman,Stempleman,5.0,Like everything when traveling- do your research,2019-08-01
ferryman23,ferryman23,1.0,Paris metro scam,2019-08-01
sandy s,sandy s,2.0,Beware of thieves,2019-08-01
Eric K,Eric K,5.0,Remarkable system. Study the maps.,2019-06-01
Julia B,Julia B,5.0,The best way to get around Paris,2019-07-01
Tony G,Tony G,1.0,Third world state.,2019-08-01
GMD,GMD,5.0,Great Metro System - use it,2019-06-01
Gastrome,Gastrome,4.0,Horrendous ticketing system (easily lost!),2019-08-01
RamboNWAlberta,RamboNWAlberta,5.0,"Excellent system, easy and cheap!",2019-08-01
CeannCabaiste,CeannCabaiste,5.0,"Easy, fast, cheap",2019-07-01
Jaykay,Jaykay,1.0,Paris? Paris Metro? Word to the Wise!,2019-08-01
Aiden692,Aiden692,4.0,Great way to get around Paris!,2019-07-01
Hilton Leung,Hilton Leung,1.0,Beware of scammers,2019-07-01
MNM1011,MNM1011,5.0,Awesome Metro!,2019-07-01
MrM06,MrM06,5.0,The only way to get around the city,2019-08-01
Mike F,Mike F,5.0,Excellent service but keep possessions tight,2019-08-01
JDTravelhome,JDTravelhome,5.0,Best way to get around,2019-07-01
3citykids,3citykids,4.0,Pickpockets: warnings v. reality,2019-06-01
Carol G,Carol G,4.0,Paris Metro experience,2019-07-01
SHOWSTOPPER_007,SHOWSTOPPER_007,5.0,Felt like the same as London underground,2019-07-01
FreshmanAA,FreshmanAA,1.0,Closures and Changes,2019-07-01
trishtp,trishtp,4.0,Metro Bus 351 to CDG airport,2019-07-01
amir a,amir a,2.0,Bad,2019-07-01
Mahmoud T,Mahmoud T,1.0,Worst day in My life,2019-07-01
John M,John M,5.0,Gettin' Around!,2019-07-01
Matt Fitzgerald,Matt Fitzgerald,1.0,"On-time and fast trains, but beware of pick-pocketers",2019-07-01
Belle-Noel,Belle-Noel,5.0,Excellent!,2019-06-01
Taughboyne,Taughboyne,4.0,Watch out for closed stations,2019-07-01
NorwichSteve,NorwichSteve,3.0,Pickpockets roam the stations - buskers too,2019-06-01
AndyHaitch,AndyHaitch,3.0,Mixed emotions - quick/cheap vs thieves/heat,2019-07-01
Ariel,Ariel,1.0,Beware metro police and unannounced station closures,2019-07-01
Julia E,Julia E,3.0,Useful if you want to save time and money,2019-07-01
Steve D,Steve D,5.0,GREAT SYSTEM - Watch for pickpockets,2019-06-01
Ian A,Ian A,3.0,Revenue Inspectors,2019-07-01
tigger2594,tigger2594,5.0,I’m a fan,2019-07-01
GPSMike,GPSMike,4.0,Great way yo see the city on a budget!,2019-07-01
GoAlong2,GoAlong2,3.0,"Confusing, but best way to get around",2019-06-01
IanWithington,IanWithington,1.0,"Awlful , dirty , nightmare to find street exit",2019-07-01
Brian J,Brian J,5.0,Family Trip,2019-06-01
Scott S,Scott S,1.0,First time in Paris,2019-07-01
Lrising,Lrising,4.0,But Not For Wheelchair Users,2019-06-01
Stefanie H,Stefanie H,4.0,Easy way to travel,2019-06-01
barb777,barb777,4.0,Great way to get around cheaply!,2019-06-01
ldrapek,ldrapek,4.0,Pleasantly surprised,2019-07-01
Elizabeth C,Elizabeth C,5.0,"Easy, Economical, Clean(-ish)",2019-06-01
Mercibien,Mercibien,5.0,Handy Travel but Be Aware,2019-04-01
GuillermoD263,GuillermoD263,5.0,Getting around in Paris,2019-06-01
Lagundi,Lagundi,1.0,Know the rules,2019-06-01
Domenico V,Domenico V,1.0,bleah,2019-07-01
jeff g,jeff g,1.0,"Clean, fast service BUT keep your ticket through your journer",2019-06-01
Thomas R,Thomas R,5.0,get the 3/4/5 day all city pass,2019-04-01
John M,John M,4.0,Gets you around,2019-06-01
Deezy1,Deezy1,3.0,Decent way to travel Paris,2019-05-01
Rnfrtz,Rnfrtz,3.0,Sometimes it is the only way to get around easily!,2019-06-01
Beverley D,Beverley D,1.0,Ruined day,2019-06-01
wimbledon62,wimbledon62,1.0,Outdated Joke of a System,2019-06-01
Claus J,Claus J,5.0,The Meto in Paris works flawless,2019-06-01
ProfPass,ProfPass,5.0,Paris Metro/Buses Work!,2019-06-01
107tammiel,107tammiel,4.0,Inexpensive way to travel around Paris,2019-06-01
MikeK1967,MikeK1967,4.0,Best way to travel in Paris............,2019-06-01
Saphire38,Saphire38,4.0,Easy to use.,2019-06-01
medanker,medanker,5.0,Wonderful Way to Travel,2019-06-01
Pandabuddie,Pandabuddie,4.0,Metro and Train just be aware and you will be fine.,2019-06-01
Catherine W,Catherine W,1.0,Beware Paris metro policies!,2019-06-01
Jules,Jules,1.0,Beware Paris Metro,2019-06-01
madeleenb2015,madeleenb2015,1.0,Terrible treatment,2019-06-01
Joan C,Joan C,4.0,Good way to get around without a vehicle.,2019-05-01
milliesmum2016,milliesmum2016,5.0,Accessibilty Plus,2019-05-01
Ruth J,Ruth J,5.0,So easy to get around,2019-06-01
Shane W,Shane W,4.0,Let the explore begin ;-),2019-06-01
Bodie1975,Bodie1975,3.0,Great accessibility to all city areas is the one positive,2019-06-01
MKTBE,MKTBE,4.0,Safe and Efficient Transportation in Paris!,2019-06-01
Lou093,Lou093,4.0,Nothing to fear if you know your destination,2019-05-01
Nirmalyo B,Nirmalyo B,3.0,Metro ride and walking in the roads in Paris.,2019-06-01
zzmehul,zzmehul,5.0,best way to explore the city,2019-05-01
TheShis,TheShis,3.0,"Still OK, but... .",2019-05-01
julesaw,julesaw,4.0,Much Better than expected.............,2019-05-01
Paul Shannon L,Paul Shannon L,1.0,Worst tourist trap in Paris,2019-05-01
DataCollector,DataCollector,4.0,Invaluable,2019-05-01
JeffCarter,JeffCarter,3.0,Please take care.,2019-05-01
Eddie M,Eddie M,1.0,PICK POCKETS,2019-05-01
Tom B,Tom B,4.0,Tough time taking the train from CDG to Paris,2019-05-01
YW-CT,YW-CT,5.0,Paris Metro saved the day,2019-05-01
franng2017,franng2017,4.0,Think your trip through first,2019-04-01
Karen E,Karen E,5.0,"Metro in Paris, Easy and helps you see all of the city",2018-06-01
Wayne Charters,Wayne Charters,4.0,Paris unsigned,2019-05-01
baholmes89,baholmes89,1.0,DON'T BE TRICKED WITH METRO TICKETS,2019-05-01
Wilson T,Wilson T,2.0,Poor communication for English travelers,2019-05-01
WWW-Wanderlust,WWW-Wanderlust,4.0,A good way to explore the city,2019-04-01
willwatt3,willwatt3,1.0,Paris Metro to Charles de Gaulle,2019-04-01
MelW04,MelW04,1.0,"Avoid in the mornings if you value your life, ok in the afternoon",2019-02-01
Red Ensign,Red Ensign,4.0,Easy to Use,2019-04-01
swingingchick,swingingchick,4.0,Color coded routes makes it easy to commute,2019-03-01
61Greg,61Greg,5.0,Quick and easy,2018-08-01
norman W,norman W,4.0,"HGow to get around Paris, easily and cheaply",2019-04-01
mike-john-c,mike-john-c,4.0,Not the slickest metro in the world but the best way to get around Paris,2019-03-01
Herbie15,Herbie15,4.0,Efficient and typical of an underground,2019-04-01
Adam,Adam,1.0,Worst Metro Service I have encounter,2019-04-01
Maarten V,Maarten V,1.0,Avoid the subway with kids!!,2019-04-01
RedSoxRule2006,RedSoxRule2006,1.0,Gold medal for unprofessional conduct,2019-04-01
Ggerard,Ggerard,1.0,Not handy and not safe,2019-04-01
Lyn S,Lyn S,4.0,"So easy to get round, but SCAM BEWARE.",2019-04-01
travelsightseerepeat,travelsightseerepeat,5.0,So easy to get around Paris,2019-04-01
Richard101,Richard101,1.0,AWFUL. SCAM. AVOID OR USE WITH CAUTION,2019-04-01
Robert G,Robert G,5.0,Best Subway on the planet but Know the drill before you go,2019-04-01
pb7711111111111111,pb7711111111111111,5.0,great and easy transportation,2019-03-01
SurreyMummyxxx,SurreyMummyxxx,1.0,Scandalous,2019-04-01
da_griswalds,da_griswalds,5.0,Best underground on the planet,2019-04-01
Ira S,Ira S,3.0,A Great Way to Get Around Paris but....,2019-03-01
Tigeriffic69,Tigeriffic69,3.0,March 2019 visit,2019-03-01
Seanb_us,Seanb_us,5.0,"Metro is easy to use, clean, fast, and on-time -- get a Navigo Decouverte",2019-03-01
Don T,Don T,1.0,Metro ticketing failures,2019-03-01
Noelle C,Noelle C,5.0,Comprehensive and Easy to Navigate!,2018-06-01
Mojoblue717,Mojoblue717,4.0,Brilliant and most economical way to get round Paris,2019-03-01
James A,James A,5.0,Great way to get around Paris - And so cheap!,2019-03-01
Jeff Bingham,Jeff Bingham,1.0,Aggressive behavior by the employees,2019-03-01
Leo D,Leo D,5.0,Paris Metro,2018-04-01
StAuggie12,StAuggie12,3.0,Not the best,2019-03-01
jamesV2546NV,jamesV2546NV,1.0,nonstop soliciting from aggressive beggars,2018-06-01
Karen V,Karen V,5.0,Worth using!,2019-03-01
DOMINIQUE L,DOMINIQUE L,1.0,"AWFUL, NO CARE FOR THE CUSTOMER",2019-01-01
OmarPaketa,OmarPaketa,3.0,Listen carefully to my honest opinion after so many travels!,2019-03-01
blaintm,blaintm,4.0,Very Easy to Use,2018-12-01
ScotchMissed,ScotchMissed,1.0,Take care to get the correct ticket or you face a fine!,2019-03-01
Fiona Q,Fiona Q,4.0,Short visit to Paris,2019-03-01
Bonnie S,Bonnie S,4.0,Metro Pass,2019-03-01
BradJill,BradJill,4.0,Carnet tickets (10 for €14.90 - €1.49 per ticket),2018-12-01
40 Plus Backpacking,40 Plus Backpacking,5.0,Fast Way to get around Paris,2018-12-01
Shell6257,Shell6257,5.0,Fantastic way to get around quickly,2019-02-01
Alexander T,Alexander T,2.0,Thieves!!!!,2019-02-01
Sara O,Sara O,4.0,Great way to get around cheaply,2019-02-01
Brenis T,Brenis T,5.0,The best!,2019-02-01
tbaker99,tbaker99,3.0,Refugees........in your face,2019-02-01
stella2105,stella2105,2.0,No elevator!,2019-02-01
Martin W,Martin W,3.0,Straight forward once you have a ticket,2019-02-01
Elaine M,Elaine M,1.0,Dreadful,2019-02-01
Karina I,Karina I,3.0,"Beware, some tips I should off known before!",2018-11-01
Tony T,Tony T,4.0,Almost Great One Big Issue,2019-02-01
Gregora75,Gregora75,2.0,Worst picture of town,2018-12-01
Big Lollery,Big Lollery,1.0,Robbed by Two Men at Turnstile,2019-01-01
angelawild,angelawild,1.0,Metro fine,2019-01-01
Steve y,Steve y,5.0,Hopping on and off is awesome,2018-12-01
Stephen S,Stephen S,4.0,Best way to get around the city,2019-01-01
Rodney P,Rodney P,5.0,"Metro, Tram and Bus tickets interchangeable",2019-01-01
